ID do canal,URL do canal,Título do canal
UCi07FKoTSmfT32xynSriT5w,http://www.youtube.com/channel/UCi07FKoTSmfT32xynSriT5w,brainstorm.academy
UCi_nAYaO8M6OSgpPUEXgr1Q,http://www.youtube.com/channel/UCi_nAYaO8M6OSgpPUEXgr1Q,Videomaker 100 Café
UCjY_LBR_7-Ile0MAsbeJWBg,http://www.youtube.com/channel/UCjY_LBR_7-Ile0MAsbeJWBg,PH Santos
UClhv0QhU1EJc_Rm_yvPx80g,http://www.youtube.com/channel/UClhv0QhU1EJc_Rm_yvPx80g,Guilherme Soares - Renderverso IA ⚡️
UClpcpTlHE-WXji91M43j-Fw,http://www.youtube.com/channel/UClpcpTlHE-WXji91M43j-Fw,Daniel Negreiros
UClu474HMt895mVxZdlIHXEA,http://www.youtube.com/channel/UClu474HMt895mVxZdlIHXEA,Nerdologia
UCmEClzCBDx-vrt0GuSKBd9g,http://www.youtube.com/channel/UCmEClzCBDx-vrt0GuSKBd9g,Jovem Nerd
UCn2DAsmLDkCeAEn9sa6xnsg,http://www.youtube.com/channel/UCn2DAsmLDkCeAEn9sa6xnsg,Rede Geek
UCsTSehwHhb1lY-DYKyVOy_w,http://www.youtube.com/channel/UCsTSehwHhb1lY-DYKyVOy_w,Aprenda Final Cut Pro X
UCsZxn5-sU8fGLLwlwTTgPyA,http://www.youtube.com/channel/UCsZxn5-sU8fGLLwlwTTgPyA,MAURICIO FONTELES
UCtTTY6S2ON1SAtpYzHuWM4A,http://www.youtube.com/channel/UCtTTY6S2ON1SAtpYzHuWM4A,PyFlet
UCtrjFP7i92_30uv6IehwE5Q,http://www.youtube.com/channel/UCtrjFP7i92_30uv6IehwE5Q,Cadê a chave?
UCurl4RJpmlVmUJUiTWyGWAA,http://www.youtube.com/channel/UCurl4RJpmlVmUJUiTWyGWAA,Cinema com Rapadura
UCuxfOdbKQy0tgGXcm9sjHiw,http://www.youtube.com/channel/UCuxfOdbKQy0tgGXcm9sjHiw,Coisa de Nerd
UCvuS63_g2FiboRnJfMPQaHg,http://www.youtube.com/channel/UCvuS63_g2FiboRnJfMPQaHg,Balista in Canada





